numero;despacho;data
102012008567;9.1;2022-02-01
102012008912;9.1;2022-02-01
102012013586;9.1;2022-02-01
102012020374;9.2;2022-02-01
102012026572;9.2;2022-02-01
102012028367;9.1;2022-02-01
102012029113;9.2;2022-02-01
102012030343;9.1;2022-02-01
102012032257;9.1;2022-02-01
102013000136;9.1;2022-02-01
102013000553;9.1;2022-02-01
102013001124;9.1;2022-02-01
102013001159;9.1;2022-02-01
102013001737;9.1;2022-02-01
102013001741;9.1;2022-02-01
102013001957;9.1;2022-02-01
102013002421;9.1;2022-02-01
102013002599;9.1;2022-02-01
102013005511;9.2;2022-02-01
102013006734;9.1;2022-02-01
102013006865;9.1;2022-02-01
102013008643;9.1;2022-02-01
102013012747;9.1;2022-02-01
102013013754;9.1;2022-02-01
102013019816;9.1;2022-02-01
102013020965;11.2;2022-02-01
102013022974;9.1;2022-02-01
102013024823;9.1;2022-02-01
102013026276;9.1;2022-02-01
102013027042;11.2;2022-02-01
102013027993;11.2;2022-02-01
102013028535;9.1;2022-02-01
102014001415;9.1;2022-02-01
102014003144;9.1;2022-02-01
102014003361;9.1;2022-02-01
102014003609;9.1;2022-02-01
102014005801;9.1;2022-02-01
102014006021;9.1;2022-02-01
102014006142;9.1;2022-02-01
102014006299;9.1;2022-02-01
102014007123;9.1;2022-02-01
102014007893;9.1;2022-02-01
102014007949;9.1;2022-02-01
102014009274;9.1;2022-02-01
102014010809;9.1;2022-02-01
102014012191;9.1;2022-02-01
102014014185;9.1;2022-02-01
102014015781;9.2;2022-02-01
102014016616;9.1;2022-02-01
102014016747;9.1;2022-02-01
102014017187;9.2;2022-02-01
102014018974;9.1;2022-02-01
102014021616;9.1;2022-02-01
102014021800;9.1;2022-02-01
102014022283;9.1;2022-02-01
102014022729;9.1;2022-02-01
102014023154;9.1;2022-02-01
102014026488;9.1;2022-02-01
102014028534;11.2;2022-02-01
102014029318;9.1;2022-02-01
102014030921;9.1;2022-02-01
102014030934;9.1;2022-02-01
102014031660;9.2;2022-02-01
102014032150;9.1;2022-02-01
102014033139;11.2;2022-02-01
102015000302;11.2;2022-02-01
102015000315;9.1;2022-02-01
102015000440;9.1;2022-02-01
102015000629;9.1;2022-02-01
102015001739;9.1;2022-02-01
102015002342;9.1;2022-02-01
102015006115;9.1;2022-02-01
102015007722;9.1;2022-02-01
102015007771;11.2;2022-02-01
102015010545;11.2;2022-02-01
102015015968;11.2;2022-02-01
102015016438;11.2;2022-02-01
102015017367;9.1;2022-02-01
102015017470;9.2;2022-02-01
102015018127;9.1;2022-02-01
102015018528;9.1;2022-02-01
102015019532;9.1;2022-02-01
102015020363;9.1;2022-02-01
102015020792;9.1;2022-02-01
102015023940;9.1;2022-02-01
102015024074;9.2;2022-02-01
102015024664;9.2;2022-02-01
102015026551;9.1;2022-02-01
102015027879;9.1;2022-02-01
102015028060;9.2;2022-02-01
102015029032;9.2;2022-02-01
102015029143;9.1;2022-02-01
102015029421;9.1;2022-02-01
102015029516;9.1;2022-02-01
102015030494;9.1;2022-02-01
102015030575;11.2;2022-02-01
102015031119;9.1;2022-02-01
102015031383;9.1;2022-02-01
102015031398;11.2;2022-02-01
102015032502;11.2;2022-02-01
102016001768;9.1;2022-02-01
102016001861;9.1;2022-02-01
102016006138;9.1;2022-02-01
102016008006;9.2;2022-02-01
102016008441;9.1;2022-02-01
102016009526;11.2;2022-02-01
102016010054;9.1;2022-02-01
102016011523;9.1;2022-02-01
102016015002;9.1;2022-02-01
102016015196;9.2;2022-02-01
102016015278;9.1;2022-02-01
102016016413;11.2;2022-02-01
102016019378;9.1;2022-02-01
102016023166;9.1;2022-02-01
102016025741;9.1;2022-02-01
102016029799;9.2;2022-02-01
102016030629;9.1;2022-02-01
102017000577;9.1;2022-02-01
102017003580;9.1;2022-02-01
102017007423;9.2;2022-02-01
102017007842;9.1;2022-02-01
102017008426;9.2;2022-02-01
102017012073;9.1;2022-02-01
102017014716;9.1;2022-02-01
102017018065;9.2;2022-02-01
102017025512;9.1;2022-02-01
102017026438;9.1;2022-02-01
102018014054;9.1;2022-02-01
102018072614;9.2;2022-02-01
102019003081;9.1;2022-02-01
102020008172;9.1;2022-02-01
102020024820;9.2;2022-02-01
102021003370;9.1;2022-02-01
102021006974;9.1;2022-02-01
102021010159;9.1;2022-02-01
112012000517;9.1;2022-02-01
112012003983;11.2;2022-02-01
112012005225;9.1;2022-02-01
112012006079;9.1;2022-02-01
112012007487;9.2;2022-02-01
112012008330;9.1;2022-02-01
112012008741;9.1;2022-02-01
112012011696;9.1;2022-02-01
112012013431;9.1;2022-02-01
112012017408;9.1;2022-02-01
112012019243;9.1;2022-02-01
112012019258;9.1;2022-02-01
